,Loc1,Loc2,Distance (m)
0,St John of God Parish San Rafael,Old Municipal Building Baliwag,6520.700846346992
1,St John of God Parish San Rafael,St Augustine Parish Baliwag,6743.710315757871
2,St John of God Parish San Rafael,St James the Apostle Parish Plaridel,13713.607136685545
3,St John of God Parish San Rafael,Simboryo Chapel of Quingua Plaridel,13679.27466752148
4,St John of God Parish San Rafael,Municipal Trial Court Pulilan,13879.97906543236
5,St John of God Parish San Rafael,Parish of St John the Baptist Calumpit,21433.880856048494
6,St John of God Parish San Rafael,Barasoain Church Malolos,20400.59492599194
7,St John of God Parish San Rafael,Immaculate Conception Parish Malolos,20734.395901313117
8,St John of God Parish San Rafael,Museum of Philippine Political History Malolos,20624.209502431924
9,St John of God Parish San Rafael,Malolos of Aguas Potables Malolos,20664.873976759696
10,St John of God Parish San Rafael,Hiyas Bulacan Cultural Center and Museum Malolos,19652.623085008454
11,St John of God Parish San Rafael,Bulacan Provincial Capitol Malolos,19550.109657349123
12,St John of God Parish San Rafael,Alberta Uitangcoy Santos House Malolos,20900.730007191156
13,St John of God Parish San Rafael,Dr Luis Santos House,20854.10750697304
14,St John of God Parish San Rafael,Old PNR  Guiguinto Station Guiguinto,16557.335101819226
15,St John of God Parish San Rafael,Constantino Ancestral HouseBalagtas,16719.141791851674
16,St John of God Parish San Rafael,Diocsan Shrine Bulakan,20184.06580587264
17,St John of God Parish San Rafael,Old Meycauayan PNR Station Meycauayan,24293.232163258854
18,St John of God Parish San Rafael,St Francis of Aggigi Parish Meycauayan,24722.56120071568
19,Old Municipal Building Baliwag,St Augustine Parish Baliwag,227.6547535440828
20,Old Municipal Building Baliwag,St James the Apostle Parish Plaridel,8923.505328845458
21,Old Municipal Building Baliwag,Simboryo Chapel of Quingua Plaridel,8953.989680938641
22,Old Municipal Building Baliwag,Municipal Trial Court Pulilan,8345.776224917585
23,Old Municipal Building Baliwag,Parish of St John the Baptist Calumpit,15032.433487061535
24,Old Municipal Building Baliwag,Barasoain Church Malolos,15435.816541326363
25,Old Municipal Building Baliwag,Immaculate Conception Parish Malolos,15815.735711498282
26,Old Municipal Building Baliwag,Museum of Philippine Political History Malolos,15678.009504283295
27,Old Municipal Building Baliwag,Malolos of Aguas Potables Malolos,15762.85242517914
28,Old Municipal Building Baliwag,Hiyas Bulacan Cultural Center and Museum Malolos,14555.872563033712
29,Old Municipal Building Baliwag,Bulacan Provincial Capitol Malolos,14422.117988873742
30,Old Municipal Building Baliwag,Alberta Uitangcoy Santos House Malolos,15991.143733449886
31,Old Municipal Building Baliwag,Dr Luis Santos House,15948.567523076326
32,Old Municipal Building Baliwag,Old PNR  Guiguinto Station Guiguinto,13959.31596039606
33,Old Municipal Building Baliwag,Constantino Ancestral HouseBalagtas,15252.088744818575
34,Old Municipal Building Baliwag,Diocsan Shrine Bulakan,17856.185274267435
35,Old Municipal Building Baliwag,Old Meycauayan PNR Station Meycauayan,24718.095897143994
36,Old Municipal Building Baliwag,St Francis of Aggigi Parish Meycauayan,25032.81332339401
37,St Augustine Parish Baliwag,St James the Apostle Parish Plaridel,8838.126477840422
38,St Augustine Parish Baliwag,Simboryo Chapel of Quingua Plaridel,8872.361516713467
39,St Augustine Parish Baliwag,Municipal Trial Court Pulilan,8214.38546828104
40,St Augustine Parish Baliwag,Parish of St John the Baptist Calumpit,14826.293252952995
41,St Augustine Parish Baliwag,Barasoain Church Malolos,15321.613377431753
42,St Augustine Parish Baliwag,Immaculate Conception Parish Malolos,15703.408651369722
43,St Augustine Parish Baliwag,Museum of Philippine Political History Malolos,15564.421672255732
44,St Augustine Parish Baliwag,Malolos of Aguas Potables Malolos,15651.499083666531
45,St Augustine Parish Baliwag,Hiyas Bulacan Cultural Center and Museum Malolos,14435.872558049035
46,St Augustine Parish Baliwag,Bulacan Provincial Capitol Malolos,14300.59391319946
47,St Augustine Parish Baliwag,Alberta Uitangcoy Santos House Malolos,15879.027764439817
48,St Augustine Parish Baliwag,Dr Luis Santos House,15836.73346105487
49,St Augustine Parish Baliwag,Old PNR  Guiguinto Station Guiguinto,13961.740803524937
50,St Augustine Parish Baliwag,Constantino Ancestral HouseBalagtas,15295.33337797519
51,St Augustine Parish Baliwag,Diocsan Shrine Bulakan,17859.195151777305
52,St Augustine Parish Baliwag,Old Meycauayan PNR Station Meycauayan,24808.391254686572
53,St Augustine Parish Baliwag,St Francis of Aggigi Parish Meycauayan,25119.052525591233
54,St James the Apostle Parish Plaridel,Simboryo Chapel of Quingua Plaridel,160.85105826948725
55,St James the Apostle Parish Plaridel,Municipal Trial Court Pulilan,2064.0666164753557
56,St James the Apostle Parish Plaridel,Parish of St John the Baptist Calumpit,10362.88914450666
57,St James the Apostle Parish Plaridel,Barasoain Church Malolos,6703.677375510353
58,St James the Apostle Parish Plaridel,Immaculate Conception Parish Malolos,7052.660532327348
59,St James the Apostle Parish Plaridel,Museum of Philippine Political History Malolos,6933.406830135513
60,St James the Apostle Parish Plaridel,Malolos of Aguas Potables Malolos,6988.380068066846
61,St James the Apostle Parish Plaridel,Hiyas Bulacan Cultural Center and Museum Malolos,5939.373480217638
62,St James the Apostle Parish Plaridel,Bulacan Provincial Capitol Malolos,5839.427593376947
63,St James the Apostle Parish Plaridel,Alberta Uitangcoy Santos House Malolos,7223.097064400191
64,St James the Apostle Parish Plaridel,Dr Luis Santos House,7177.5922948449115
65,St James the Apostle Parish Plaridel,Old PNR  Guiguinto Station Guiguinto,6701.35637473528
