,Loc1,Loc2,Average
0,St John of God Parish San Rafael,Old Municipal Building Baliwag,8411.30188931364
1,Old Municipal Building Baliwag,St John of God Parish San Rafael,8411.30188931364
2,St John of God Parish San Rafael,St James the Apostle Parish Plaridel,18012.56571052607
3,St James the Apostle Parish Plaridel,St John of God Parish San Rafael,18012.56571052607
4,St John of God Parish San Rafael,Municipal Trial Court Pulilan,18011.721459827313
5,Municipal Trial Court Pulilan,St John of God Parish San Rafael,18011.721459827313
6,St John of God Parish San Rafael,Parish of St John the Baptist Calumpit,26506.551564613983
7,Parish of St John the Baptist Calumpit,St John of God Parish San Rafael,26506.551564613983
8,St John of God Parish San Rafael,Barasoain Church Malolos,25869.736932057764
9,Barasoain Church Malolos,St John of God Parish San Rafael,25869.736932057764
10,St John of God Parish San Rafael,Immaculate Conception Parish Malolos,26426.986044184476
11,Immaculate Conception Parish Malolos,St John of God Parish San Rafael,26426.986044184476
12,St John of God Parish San Rafael,Museum of Philippine Political History Malolos,26106.98409278295
13,Museum of Philippine Political History Malolos,St John of God Parish San Rafael,26106.98409278295
14,St John of God Parish San Rafael,Hiyas Bulacan Cultural Center and Museum Malolos,25278.505181292814
15,Hiyas Bulacan Cultural Center and Museum Malolos,St John of God Parish San Rafael,25278.505181292814
16,St John of God Parish San Rafael,Alberta Uitangcoy Santos House Malolos,26611.865112647072
17,Alberta Uitangcoy Santos House Malolos,St John of God Parish San Rafael,26611.865112647072
18,St John of God Parish San Rafael,Old PNR  Guiguinto Station Guiguinto,24045.91430978891
19,Old PNR  Guiguinto Station Guiguinto,St John of God Parish San Rafael,24045.91430978891
20,St John of God Parish San Rafael,Constantino Ancestral HouseBalagtas,24542.668420927006
21,Constantino Ancestral HouseBalagtas,St John of God Parish San Rafael,24542.668420927006
22,St John of God Parish San Rafael,Diocsan Shrine Bulakan,28082.32821083828
23,Diocsan Shrine Bulakan,St John of God Parish San Rafael,28082.32821083828
24,St John of God Parish San Rafael,Old Meycauayan PNR Station Meycauayan,35790.32552942744
25,Old Meycauayan PNR Station Meycauayan,St John of God Parish San Rafael,35790.32552942744
26,St John of God Parish San Rafael,St Francis of Aggigi Parish Meycauayan,36003.69003714132
27,St Francis of Aggigi Parish Meycauayan,St John of God Parish San Rafael,36003.69003714132
28,Old Municipal Building Baliwag,St James the Apostle Parish Plaridel,10071.899976006407
29,St James the Apostle Parish Plaridel,Old Municipal Building Baliwag,10071.899976006407
30,Old Municipal Building Baliwag,Municipal Trial Court Pulilan,10100.33143561686
31,Municipal Trial Court Pulilan,Old Municipal Building Baliwag,10100.33143561686
32,Old Municipal Building Baliwag,Parish of St John the Baptist Calumpit,18595.161540403533
33,Parish of St John the Baptist Calumpit,Old Municipal Building Baliwag,18595.161540403533
34,Old Municipal Building Baliwag,Barasoain Church Malolos,17929.071197538113
35,Barasoain Church Malolos,Old Municipal Building Baliwag,17929.071197538113
36,Old Municipal Building Baliwag,Immaculate Conception Parish Malolos,18486.320309664825
37,Immaculate Conception Parish Malolos,Old Municipal Building Baliwag,18486.320309664825
38,Old Municipal Building Baliwag,Museum of Philippine Political History Malolos,18166.3183582633
39,Museum of Philippine Political History Malolos,Old Municipal Building Baliwag,18166.3183582633
40,Old Municipal Building Baliwag,Hiyas Bulacan Cultural Center and Museum Malolos,17337.839446773163
41,Hiyas Bulacan Cultural Center and Museum Malolos,Old Municipal Building Baliwag,17337.839446773163
42,Old Municipal Building Baliwag,Alberta Uitangcoy Santos House Malolos,18671.19937812742
43,Alberta Uitangcoy Santos House Malolos,Old Municipal Building Baliwag,18671.19937812742
44,Old Municipal Building Baliwag,Old PNR  Guiguinto Station Guiguinto,16797.427250499168
45,Old PNR  Guiguinto Station Guiguinto,Old Municipal Building Baliwag,16797.427250499168
46,Old Municipal Building Baliwag,Constantino Ancestral HouseBalagtas,17727.936727901946
47,Constantino Ancestral HouseBalagtas,Old Municipal Building Baliwag,17727.936727901946
48,Old Municipal Building Baliwag,Diocsan Shrine Bulakan,20708.089211896444
49,Diocsan Shrine Bulakan,Old Municipal Building Baliwag,20708.089211896444
50,Old Municipal Building Baliwag,Old Meycauayan PNR Station Meycauayan,28975.593836402415
51,Old Meycauayan PNR Station Meycauayan,Old Municipal Building Baliwag,28975.593836402415
52,Old Municipal Building Baliwag,St Francis of Aggigi Parish Meycauayan,29188.95834411628
53,St Francis of Aggigi Parish Meycauayan,Old Municipal Building Baliwag,29188.95834411628
54,St James the Apostle Parish Plaridel,Municipal Trial Court Pulilan,4167.129862549676
55,Municipal Trial Court Pulilan,St James the Apostle Parish Plaridel,4167.129862549676
56,St James the Apostle Parish Plaridel,Parish of St John the Baptist Calumpit,12788.555947211153
57,Parish of St John the Baptist Calumpit,St James the Apostle Parish Plaridel,12788.555947211153
58,St James the Apostle Parish Plaridel,Barasoain Church Malolos,7864.05685255565
59,Barasoain Church Malolos,St James the Apostle Parish Plaridel,7864.05685255565
60,St James the Apostle Parish Plaridel,Immaculate Conception Parish Malolos,8421.30596468236
61,Immaculate Conception Parish Malolos,St James the Apostle Parish Plaridel,8421.30596468236
